Querying Data with Transact-SQL,media/course/image/66619e93-c801-43cb-9a91-28edb84c3eae-18928eec2035.jpg,1126215,99,course-v1:Microsoft+DAT201x+1T2020a,Microsoft+DAT201x,Microsoft
Introduction to R for Data Science,media/course/image/042fe5b1-e084-4a0a-a375-0e24659894b3-60894bc7096e.jpg,4FEA4FB,99,course-v1:Microsoft+DAT204x+1T2020a,Microsoft+DAT204x,Microsoft
Analyzing and Visualizing Data with Excel,media/course/image/aef78d25-e1c8-4295-bc8e-7fbd88a0b653-8209bd2d113d.jpg,86B3E67,99,course-v1:Microsoft+DAT206x+1T2020a,Microsoft+DAT206x,Microsoft
Analyzing and Visualizing Data with Power BI,media/course/image/1bda401c-840c-4316-b3b6-e9357f26ad92-f847fa588aa0.jpg,89E6691,99,course-v1:Microsoft+DAT207x+1T2020a,Microsoft+DAT207x,Microsoft
Introduction to Python for Data Science,media/course/image/f89c9ea8-b0ad-4c0c-8347-1b61dbd25125-da5ec9fe99cb.jpg,A807D13,99,course-v1:Microsoft+DAT208x+1T2020a,Microsoft+DAT208x,Microsoft
Dynamics and Control,media/course/image/4cb0e97b-ad0c-4928-b1f7-498280e0f8b7-ffc40e553055.jpg,D22FD32,50,course-v1:UPValenciaX+DC201x+1T2020,UPValenciaX+DC201x,UPValenciaX
Product Design: The Delft Design Approach,media/course/image/5dedf011-dfb5-4ea4-8714-30196590eb52-d940b2594513.png,3CF3B24,79,course-v1:DelftX+DDA691x+3T2019,DelftX+DDA691x,DelftX
Introduction to C++,media/course/image/72abaeb3-0856-4e89-906a-8b6eef402a1f-153a590f7f3c.jpg,FBACD26,99,course-v1:Microsoft+DEV210x+1T2020,Microsoft+DEV210x,Microsoft
Dog Behavior: Problems and Solutions,media/course/image/128621fe-a96b-466f-9e3b-aadaf6bcf539-125fcb63dac2.jpg,CD3EE67,169,course-v1:ASUx+DOGx003+2T2019,ASUx+DOGx003,ASUx
Statistical Thinking for Data Science and Analytics,media/course/image/073d6494-9e83-4ffd-8f36-6e1d95ac4366-374f4f2f4a7c.jpg,0320C8D,99,course-v1:ColumbiaX+DS101X+2T2020,ColumbiaX+DS101X,ColumbiaX
Data Science Ethics,media/course/image/01d6a025-0edf-4e03-9e3f-bfeca1fd1658-710258d40f3a.jpg,DEC87C6,49,course-v1:MichiganX+DS101x+1T2020,MichiganX+DS101x,MichiganX
Machine Learning for Data Science and Analytics,media/course/image/b93c9fea-3df3-4180-984c-55310821cbb5-f8050e6a1cca.jpg,B6AB0A9,99,course-v1:ColumbiaX+DS102X+2T2020,ColumbiaX+DS102X,ColumbiaX
Enabling Technologies for Data Science and Analytics: The Internet of Things,media/course/image/a58d02d2-ee6b-4903-8075-15d516b28254-a14c08150405.jpg,01E493D,99,course-v1:ColumbiaX+DS103x+2T2020,ColumbiaX+DS103x,ColumbiaX
Making Sense of Climate Science Denial,media/course/image/058c7421-a532-437d-a617-a47c7949d618-290c5a746490.jpg,FE51C56,59,course-v1:UQx+Denial101x+1T2020,UQx+Denial101x,UQx
Teaching Historical Inquiry with Objects,media/course/image/15d15758-6b16-4a61-a35d-12ff57d1e37c-7d3d0db24f51.jpg,7C77D03,50,course-v1:SmithsonianX+ED1.1x+1T2020a,SmithsonianX+ED1.1x,SmithsonianX
A System View of Communications: From Signals to Packets (Part 1),media/course/image/f2694a55-7704-4dd5-9799-2a1557efa0c3-9e0cbea45bff.jpg,A2DA8DF,60,course-v1:HKUSTx+ELEC1200.1x+3T2020,HKUSTx+ELEC1200.1x,HKUSTx
A System View of Communications: From Signals to Packets (Part 1),media/course/image/f2694a55-7704-4dd5-9799-2a1557efa0c3-9e0cbea45bff.jpg,0B240BB,60,course-v1:HKUSTx+ELEC1200.1x+2T2020,HKUSTx+ELEC1200.1x,HKUSTx
A System View of Communications: From Signals to Packets (Part 2),media/course/image/caea2810-3db2-4d5f-be7d-22a9d91a4900-3981580ef47d.jpg,D6AE966,50,course-v1:HKUSTx+ELEC1200.2x+3T2020,HKUSTx+ELEC1200.2x,HKUSTx
A System View of Communications: From Signals to Packets (Part 2),media/course/image/caea2810-3db2-4d5f-be7d-22a9d91a4900-3981580ef47d.jpg,4573945,50,course-v1:HKUSTx+ELEC1200.2x+2T2020,HKUSTx+ELEC1200.2x,HKUSTx
A System View of Communications: From Signals to Packets (Part 3),media/course/image/eae8c83b-6d58-4537-a254-b3718f7d0ff7-a9c0b369c924.jpg,58B45E0,50,course-v1:HKUSTx+ELEC1200.3x+2T2020,HKUSTx+ELEC1200.3x,HKUSTx
